name,neighbourhood,city,property_type,room_type,accommodates,amenities,price,review_scores_rating,reviews
Charmant 2 pièces Paris Gambetta,Menilmontant,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed""]",65,100,4
Appartement calme Sentier Montorgueil,Bourse,Paris,Entire apartment,Entire place,2,"[""Dishes and silverware"", ""Coffee maker"", ""Iron"", ""Dedicated workspace"", ""Smoke alarm"", ""Essentials"", ""Bed linens"", ""Dishwasher"", ""TV"", ""Shampoo"", ""Heating"", ""Washer"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed"", ""Microwave""]",125,100,4
Trendy and spacious flat in the heart of Paris,Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""TV"", ""Kitchen"", ""Lockbox"", ""Smoke alarm"", ""Dishwasher"", ""Cooking basics"", ""Hot water"", ""Heating"", ""Refrigerator"", ""Long term stays allowed"", ""Stove"", ""Essentials"", ""Dishes and silverware"", ""Washer"", ""Microwave"", ""Oven"", ""Dryer"", ""Wifi""]",52,100,31
Lovely flat with balcony in Le Marais,Temple,Paris,Entire apartment,Entire place,2,"[""Kitchen"", ""Iron"", ""Coffee maker"", ""Hangers"", ""Smoke alarm"", ""Cooking basics"", ""Host greets you"", ""Dedicated workspace"", ""Hot water"", ""Heating"", ""Refrigerator"", ""Long term stays allowed"", ""Stove"", ""Essentials"", ""Dishes and silverware"", ""Washer"", ""Microwave"", ""Wifi""]",90,100,3
Lovely flat near the Opera and Gare du Nord,Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Kitchen"", ""Elevator"", ""First aid kit"", ""Essentials"", ""Hangers"", ""Long term stays allowed""]",80,100,2
Charmant appartement ancien au coeur du Xème,Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""TV"", ""Iron"", ""Smoke alarm"", ""Breakfast"", ""Long term stays allowed"", ""Elevator"", ""Essentials"", ""Heating"", ""Washer"", ""Carbon monoxide alarm"", ""Wifi""]",95,100,2
Un oasis de calme et de lumière dans le 18e,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Kitchen"", ""Iron"", ""Smoke alarm"", ""Breakfast"", ""Heating"", ""Shampoo"", ""Elevator"", ""Essentials"", ""Washer"", ""Long term stays allowed""]",27,100,1
Appartement Haussmanien Opera /Galleries Lafayette,Opera,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Heating"", ""Washer"", ""Hair dryer"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""TV""]",120,100,1
"Luxurious flat, balcony view on the Eiffel tower",Passy,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Elevator"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Breakfast""]",90,100,3
"Bel appartement parisien, parfait pour un couple !",Popincourt,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Iron"", ""Essentials"", ""Hair dryer"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace""]",95,100,2
Appartement cosy au pied de Montmartre / Pigalle,Opera,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Breakfast"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""First aid kit"", ""Hot water"", ""Essentials"", ""Long term stays allowed"", ""Bed linens"", ""TV"", ""Stove"", ""Coffee maker"", ""Microwave""]",80,100,4
Cosy and luminous flat in the center of Paris,Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Washer"", ""Elevator"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Private entrance"", ""Long term stays allowed"", ""Carbon monoxide alarm""]",130,100,2
Appartement de charme en plein centre,Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Washer"", ""Elevator"", ""Smoke alarm"", ""Cable TV"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]",120,100,2
"Spacious, rustic & cozy Apt. with Sacre Coeur view",Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Hair dryer"", ""Wifi"", ""Kitchen"", ""Long term stays allowed"", ""Essentials""]",45,100,4
Joli 2 pièces dans le 13e art de Paris,Gobelins,Paris,Entire apartment,Entire place,2,"[""Dishes and silverware"", ""Pocket wifi"", ""Hangers"", ""Luggage dropoff allowed"", ""Stove"", ""Coffee maker"", ""Iron"", ""Dedicated workspace"", ""Smoke alarm"", ""Essentials"", ""Bed linens"", ""TV"", ""Shampoo"", ""Heating"", ""Washer"", ""Cable TV"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed"", ""Microwave""]",30,100,2
Cocon parisien proche transport,Observatoire,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Washer"", ""Hair dryer"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]",48,100,1
Appartement de charme à Montmartre,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Hair dryer"", ""Dedicated workspace"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Private entrance"", ""Long term stays allowed"", ""TV""]",70,100,1
Cosy apartment in a courtyard in Paris,Vaugirard,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Washer"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Essentials"", ""Long term stays allowed"", ""Breakfast""]",80,100,5
Charming apartment in Montmartre,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Oven"", ""Patio or balcony"", ""Heating"", ""Washer"", ""Hair dryer"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Essentials"", ""Long term stays allowed"", ""Host greets you"", ""Stove"", ""Coffee maker""]",110,100,5
"Modern 1 bedroom flat, Calm & Cosy",Popincourt,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Private entrance"", ""Long term stays allowed"", ""TV""]",120,100,1
Parisian Appartement near Père Lachaise,Popincourt,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""First aid kit"", ""Hot water"", ""Essentials"", ""Hangers"", ""Long term stays allowed""]",75,100,1
COSY APARTMENT IN HEART OF PARIS NEAR THE LOUVRE,Louvre,Paris,Entire apartment,Entire place,2,"[""Table corner guards"", ""Outlet covers"", ""Children\u2019s books and toys"", ""Essentials"", ""Children\u2019s dinnerware"", ""Hangers"", ""Changing table"", ""Smoke alarm"", ""Wifi"", ""Crib"", ""Long term stays allowed"", ""Dedicated workspace"", ""High chair"", ""TV"", ""Iron"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""Kitchen"", ""Hair dryer"", ""Coffee maker"", ""Microwave"", ""Cooking basics"", ""Baby bath"", ""Cable TV"", ""Paid parking off premises"", ""Bread maker"", ""Bed linens"", ""Carbon monoxide alarm""]",300,100,1
Cosy appartment near Montmartre,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Oven"", ""Heating"", ""Hair dryer"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""Cooking basics"", ""Refrigerator"", ""Hot water"", ""Hangers"", ""Essentials"", ""Bed linens"", ""Private entrance"", ""Long term stays allowed"", ""TV"", ""Stove""]",60,100,1
La Casa de Sacha :),Menilmontant,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace""]",60,100,1
★ Cozy Apartment - Paris - 9ème Arrondissement,Opera,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Cable TV""]",99,100,1
Bright 1bedrm in vibrant Oberkampf,Popincourt,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Dryer"", ""Carbon monoxide alarm"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Cable TV""]",65,100,10
Montparnasse Apartment - Studio,Observatoire,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Washer"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Cable TV""]",56,100,1
Lovely 2 rooms apartment in Montmartre,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Dishes and silverware"", ""Hangers"", ""Luggage dropoff allowed"", ""Stove"", ""Breakfast"", ""Coffee maker"", ""Iron"", ""Smoke alarm"", ""Essentials"", ""Dishwasher"", ""Paid parking off premises"", ""Shampoo"", ""Heating"", ""Washer"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed"", ""Host greets you"", ""Microwave""]",79,100,13
"Appartement Paris 15, quartier Cambronne",Vaugirard,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Washer"", ""Wifi"", ""Kitchen"", ""Long term stays allowed"", ""Hangers"", ""TV"", ""Breakfast""]",60,100,4
Charmant 2 pièces à deux pas des Champs Elysees,Batignolles-Monceau,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Indoor fireplace"", ""Wifi"", ""Cable TV"", ""Kitchen"", ""Elevator"", ""Fire extinguisher"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Breakfast""]",80,100,1
"Love nest in the center of Paris, Ile de la Cite.",Louvre,Paris,Entire apartment,Entire place,2,"[""TV"", ""Iron"", ""First aid kit"", ""Hangers"", ""Smoke alarm"", ""Kitchen"", ""Paid parking off premises"", ""Host greets you"", ""Fire extinguisher"", ""Private entrance"", ""Hot water"", ""Long term stays allowed"", ""Elevator"", ""Essentials"", ""Washer"", ""Dryer"", ""Wifi"", ""Luggage dropoff allowed""]",95,100,4
Nice studio with nice views in Paris,Reuilly,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Washer"", ""Hair dryer"", ""Elevator"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Long term stays allowed"", ""TV"", ""Breakfast""]",80,100,4
44m2 de charme quartier belleville buttes-chaumont,Menilmontant,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Wifi"", ""Smoke alarm"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Private entrance"", ""Long term stays allowed"", ""Breakfast""]",70,100,8
Briques et chine dans le 18e arrondissement,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Dishes and silverware"", ""Hangers"", ""Stove"", ""Coffee maker"", ""Iron"", ""Dedicated workspace"", ""Smoke alarm"", ""Essentials"", ""TV"", ""Shampoo"", ""Heating"", ""Washer"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Free street parking"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed"", ""Microwave""]",80,100,1
Appartement cosy & lumineux dans Paris Nord,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""Hot water"", ""Essentials"", ""Long term stays allowed""]",70,100,6
Canal Saint Martin - 2 pièces 50m2,Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""Elevator"", ""Dishes and silverware"", ""Hangers"", ""Stove"", ""Coffee maker"", ""Iron"", ""Dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Essentials"", ""Dishwasher"", ""TV"", ""Shampoo"", ""Lockbox"", ""Heating"", ""Washer"", ""Kitchen"", ""Refrigerator"", ""Cooking basics"", ""Hot water"", ""Oven"", ""Hair dryer"", ""Wifi"", ""Long term stays allowed"", ""Microwave""]",130,100,13
Cosy Parisian flat  - 10 mins from Eiffel Tower!,Palais-Bourbon,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]",95,100,2
Lovely apartment in Montmartre/Batignolles/Pigalle,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Dishes and silverware"", ""Kitchen"", ""Breakfast"", ""Hot water"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""Dishwasher"", ""TV"", ""Stove"", ""Coffee maker""]",100,100,8
"Appart studio Coeur de Paris, Emplacement premium",Batignolles-Monceau,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Iron"", ""Heating"", ""Hair dryer"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Dedicated workspace"", ""Kitchen"", ""Hot water"", ""Hangers"", ""Essentials"", ""Bed linens"", ""Long term stays allowed""]",110,100,1
Montmartre Flat with lovely terrace,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Cable TV""]",73,100,10
Très beau studio place d'italie,Gobelins,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Kitchen"", ""Smoke alarm"", ""Elevator"", ""Long term stays allowed""]",166,100,2
Parisian flat 5 min Eiffel Tower,Vaugirard,Paris,Entire apartment,Entire place,2,"[""Kitchen"", ""Essentials"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]",76,100,1
2 rooms flat next to Eiffel tower,Vaugirard,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Wifi"", ""Long term stays allowed""]",47,100,1
Lovely room nearby Gare de Lyon,Reuilly,Paris,Entire apartment,Entire place,2,"[""First aid kit"", ""Heating"", ""Kitchen"", ""Washer"", ""Wifi"", ""Fire extinguisher"", ""Long term stays allowed"", ""Cable TV""]",50,100,1
Cosy & spacious apartment + great location,Popincourt,Paris,Entire apartment,Entire place,2,"[""Patio or balcony"", ""Outlet covers"", ""Children\u2019s books and toys"", ""Essentials"", ""Children\u2019s dinnerware"", ""Stove"", ""Hot water"", ""Hangers"", ""Changing table"", ""Smoke alarm"", ""Wifi"", ""Luggage dropoff allowed"", ""Crib"", ""Long term stays allowed"", ""High chair"", ""Dedicated workspace"", ""Host greets you"", ""Iron"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""First aid kit"", ""Heating"", ""Kitchen"", ""Hair dryer"", ""Coffee maker"", ""Washer"", ""Breakfast"", ""Microwave"", ""Cooking basics"", ""Shampoo"", ""Extra pillows and blankets"", ""Babysitter recommendations"", ""Bed linens"", ""Carbon monoxide alarm"", ""Elevator""]",110,100,10
Cosy little appartment for 2 people,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Kitchen"", ""Essentials"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",55,100,1
2 pièces cosy canal St Martin,Enclos-St-Laurent,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Wifi"", ""Long term stays allowed""]",90,100,1
Appartement ideal au coeur de Paris,Temple,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace"", ""Cable TV""]",50,100,1
Petit appartement calme et lumineux,Reuilly,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Kitchen"", ""Essentials"", ""Wifi"", ""Long term stays allowed""]",60,100,3
Stunning appartement in the Marais,Temple,Paris,Entire apartment,Entire place,2,"[""Dishwasher"", ""Essentials"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""TV"", ""Indoor fireplace"", ""Dryer"", ""Refrigerator"", ""Oven"", ""Dishes and silverware"", ""Heating"", ""Kitchen"", ""Coffee maker"", ""Washer"", ""Microwave"", ""Cooking basics"", ""Fire extinguisher"", ""Cable TV"", ""Shampoo"", ""Carbon monoxide alarm""]",280,100,2
Studio à deux pas des Champs-Elyees,Elysee,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Cable TV""]",75,100,1
Nice 2-rooms apt in SoPi/Montmartre,Opera,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Cable TV""]",60,100,1
Charming appartment near Montmartre,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Hot tub"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Cable TV""]",85,100,1
2 Room Apt Terrace 5m Champs Elysee,Batignolles-Monceau,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Washer"", ""Carbon monoxide alarm"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace"", ""Cable TV""]",99,100,1
Appartement charmant 17e,Batignolles-Monceau,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""TV"", ""Kitchen"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]",40,100,1
Loft sous les toits,Palais-Bourbon,Paris,Entire apartment,Entire place,2,"[""Heating"", ""Kitchen"", ""Washer"", ""Long term stays allowed"", ""Cable TV""]",99,100,2
Bright and spacious apartment,Vaugirard,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""First aid kit"", ""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Elevator"", ""Smoke alarm"", ""Wifi"", ""Fire extinguisher"", ""Long term stays allowed"", ""Cable TV""]",89,100,1
Appartement au calme sur Paris 16,Passy,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""First aid kit"", ""Hot tub"", ""Heating"", ""Indoor fireplace"", ""Kitchen"", ""Essentials"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",90,100,1
SUPER CUTE APPARTMENT IN MONTMARTRE,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Dryer"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",65,100,1
Appart. 2 pièces - Paris 9ème,Elysee,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Washer"", ""Wifi"", ""Long term stays allowed""]",90,100,1
Charming 2 rooms 50m² - Bastille,Popincourt,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Breakfast"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace"", ""Cable TV""]",75,100,4
Beautiful studio in Montmartre,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]",35,100,1
Studio 22m2 au cœur de paris !,Gobelins,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Washer"", ""Cleaning before checkout"", ""Hot water"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace""]",90,100,11
"Nice, calm and very sunny studio in Montparnasse",Vaugirard,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace""]",68,100,2
Cosy Flat rue des Batignolles,Batignolles-Monceau,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Cable TV""]",85,100,1
Super peaceful flat in South Pigalle,Opera,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Washer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed""]",55,100,3
Very central designer apartment,Temple,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",60,100,1
2 pièces sous les toits,Popincourt,Paris,Entire apartment,Entire place,2,"[""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Long term stays allowed"", ""Dedicated workspace""]",38,100,3
Apartment in the 9ème,Opera,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""TV"", ""Iron"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace""]",106,100,1
The Telegraphe nicest,Buttes-Chaumont,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Iron"", ""Kitchen"", ""Essentials"", ""Washer"", ""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Dedicated workspace"", ""Cable TV""]",50,100,1
Bel appartement Bastille Marais,Popincourt,Paris,Entire apartment,Entire place,2,"[""First aid kit"", ""Heating"", ""TV"", ""Kitchen"", ""Essentials"", ""Hair dryer"", ""Washer"", ""Breakfast"", ""Wifi"", ""Elevator"", ""Long term stays allowed""]",90,100,3
Nice cosy flat with private garden,Batignolles-Monceau,Paris,Entire apartment,Entire place,2,"[""TV"", ""Iron"", ""Kitchen"", ""Hangers"", ""Smoke alarm"", ""Breakfast"", ""Cable TV"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Shampoo"", ""Essentials"", ""Wifi""]",110,100,1
Charming & spacious apartment near Eiffel Tower,Vaugirard,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Cable TV"", ""Wifi"", ""Kitchen"", ""Elevator"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]",80,100,1
Beautiful apartment in Montmartre,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dryer"", ""Smoke alarm"", ""Wifi"", ""Dedicated workspace"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]",104,100,2
2 Pièces calme et lumineux Buttes Chaumont,Buttes-Chaumont,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Washer"", ""Dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Elevator"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Breakfast""]",165,100,3
Appartement cosy au coeur de Paris,Vaugirard,Paris,Entire apartment,Entire place,2,"[""TV"", ""Hair dryer"", ""Iron"", ""Kitchen"", ""Dedicated workspace"", ""Heating"", ""Long term stays allowed"", ""Elevator"", ""Essentials"", ""Washer"", ""Wifi""]",55,100,1
Quiet place in a animated neighborhood,Batignolles-Monceau,Paris,Entire apartment,Entire place,2,"[""Paid parking off premises"", ""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Dedicated workspace"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hot water"", ""Long term stays allowed"", ""Hangers"", ""Luggage dropoff allowed""]",70,100,3
"Bel appartement calme, Marais (Paris 3ème)",Temple,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Heating"", ""Hair dryer"", ""Smoke alarm"", ""Wifi"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV"", ""Breakfast""]",110,100,2
Modern & romantic place in Montmartre,Buttes-Montmartre,Paris,Entire apartment,Entire place,2,"[""Kitchen"", ""Hangers"", ""Bed linens"", ""Oven"", ""Long term stays allowed"", ""Lockbox"", ""Iron"", ""Paid parking off premises"", ""Smoke alarm"", ""Dedicated workspace"", ""Hot water"", ""Refrigerator"", ""Elevator"", ""Stove"", ""Essentials"", ""Extra pillows and blankets"", ""Dishwasher"", ""Washer"", ""Hair dryer"", ""Shampoo"", ""Heating"", ""Wifi""]",110,100,6
Charmant Duplex en plein cœur de Paris,Louvre,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Heating"", ""Washer"", ""Hair dryer"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed"", ""TV""]",60,100,1
Cosy apartment in the heart of Paris/Eiffel Tower,Vaugirard,Paris,Entire apartment,Entire place,2,"[""Shampoo"", ""Heating"", ""Elevator"", ""Hair dryer"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Hangers"", ""Long term stays allowed""]",120,100,4
Beautiful & cosy 1 bedroom,Popincourt,Paris,Entire apartment,Entire place,2,"[""Iron"", ""Shampoo"", ""Heating"", ""Washer"", ""Hair dryer"", ""Dedicated workspace"", ""Smoke alarm"", ""Wifi"", ""Kitchen"", ""Essentials"", ""Private entrance"", ""Long term stays allowed"", ""TV""]",70,100,15
